id,fecha,pronostico,temperatura_maxima,temperatura_minima,probabilidad_lluvia,viento_dia,direccion_viento_dia,viento_noche,direccion_viento_noche,humedad_dia_porcentaje,humedad_noche_porcentaje,indice_UV_dia,indice_UV_noche,amanecer,puesta_solar,salida_lunar,puesta_lunar,fase_lunar
135,jue 24,Mayormente soleado,37,24,11,17,ESE ,19,E ,27,31,10 de 11,0 de 11,06:36:00,19:39:00,14:17:00,,Gibosa creciente
136,vie 11,Nubes por la mañana / Sol por la tarde,36,24,15,18,O ,24,O ,35,40,Extremo,0 de 11,06:28:00,19:53:00,01:59:00,17:01:00,Cuarto menguante
137,sab 12,Parcialmente nublado,36,25,1,15,O ,22,OSO ,34,37,Extremo,0 de 11,06:28:00,19:52:00,02:50:00,17:53:00,Cuarto menguante
138,dom 13,Parcialmente nublado,36,24,15,13,OSO ,16,NO ,33,42,Extremo,0 de 11,06:29:00,19:51:00,03:45:00,18:38:00,Cuarto menguante
139,lun 14,Mayormente soleado,36,24,17,25,E ,25,E ,35,36,Extremo,0 de 11,06:29:00,19:50:00,04:42:00,19:18:00,Cuarto menguante
140,mar 15,Mayormente soleado,37,25,2,20,ESE ,17,ESE ,30,31,Extremo,0 de 11,06:30:00,19:49:00,05:40:00,19:52:00,Nueva
141,mie 16,Soleado,38,25,0,12,SE ,12,SSE ,27,27,Extremo,0 de 11,06:31:00,19:48:00,06:37:00,20:22:00,Nueva
142,jue 17,Mayormente soleado,39,25,0,12,SE ,15,E ,23,29,Extremo,0 de 11,06:31:00,19:47:00,07:33:00,20:49:00,Nueva visible
143,vie 18,Mayormente soleado,39,25,3,13,SE ,16,E ,25,30,Extremo,0 de 11,06:32:00,19:46:00,08:27:00,21:15:00,Nueva visible
144,sab 19,Mayormente soleado,38,25,6,14,SSE ,16,E ,26,29,Extremo,0 de 11,06:33:00,19:45:00,09:22:00,21:40:00,Nueva visible
145,dom 20,Mayormente soleado,38,25,3,16,SE ,18,ESE ,25,29,Extremo,0 de 11,06:33:00,19:44:00,10:16:00,22:05:00,Nueva visible
146,lun 21,Mayormente soleado,38,25,3,18,ESE ,21,ESE ,25,30,10 de 11,0 de 11,06:34:00,19:43:00,11:13:00,22:32:00,Nueva visible
147,mar 22,Mayormente soleado,37,24,0,18,ESE ,20,E ,26,31,10 de 11,0 de 11,06:35:00,19:42:00,12:11:00,23:03:00,Nueva visible
148,mie 23,Mayormente soleado,37,24,10,16,ESE ,18,ESE ,27,30,10 de 11,0 de 11,06:35:00,19:40:00,13:13:00,23:40:00,Cuarto creciente
149,jue 24,Mayormente soleado,37,24,0,15,ESE ,18,E ,26,29,10 de 11,0 de 11,06:36:00,19:39:00,14:17:00,,Gibosa creciente
150,vie 25,Parcialmente nublado,37,24,23,17,ESE ,17,E ,26,30,10 de 11,0 de 11,06:36:00,19:38:00,15:24:00,00:23:00,Gibosa creciente
151,sab 12,Mayormente soleado,37,26,2,16,OSO ,19,OSO ,32,32,Extremo,0 de 11,06:28:00,19:52:00,02:50:00,17:53:00,Cuarto menguante
152,dom 13,Parcialmente nublado,37,24,15,15,O ,17,O ,30,39,Extremo,0 de 11,06:29:00,19:51:00,03:45:00,18:38:00,Cuarto menguante
153,lun 14,Parcialmente nublado,36,24,20,29,E ,31,E ,36,39,Extremo,0 de 11,06:29:00,19:50:00,04:42:00,19:18:00,Cuarto menguante
154,mar 15,Soleado,37,24,0,23,ESE ,19,ESE ,32,33,Extremo,0 de 11,06:30:00,19:49:00,05:40:00,19:52:00,Nueva
155,mie 16,Soleado,37,25,0,11,SE ,12,SE ,28,27,Extremo,0 de 11,06:31:00,19:48:00,06:37:00,20:21:00,Nueva
